sample,minutes,path
JMIJ,0,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHK
JMHF,0,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHF
JMHQ,0,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHQ
JMIB,0,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMIB
JMGR,5,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGR
JMGT,5,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGT
JMHR,5,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHR
JMHS,5,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHS
JMGQ,60,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGQ
JMHY,60,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHY
JMHZ,60,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHZ
JMIA,60,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMIA
JMHT,1440,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHT
JMHU,1440,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHU
JMHW,1440,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHW
JMHX,1440,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHX